text;tone
"Обратились в поликлинику, специалист Сергей Викторович Звягин справился с проблемой по здоровью. С первого сеанса чувствовал себя прекрасно. Завершился вопрос выздоровления третьим сеансом. Самочувствие отличное. Благодарю Сергея Викторовича за заботу о моем теле.
                        ";1
"Обратился в эту клинику и был приятно удивлен качеством обслуживания и внимательностью персонала. Врачи - профессионалы своего дела, внимательно выслушали меня и провели необходимые обследования. Особую благодарность хочу выразить доктору Мирославу, который оказался очень внимательным и заботливым. Кроме того, медсестры очень грамотно выполняли свою работу, были дружелюбны и отзывчивы. В целом, я остался доволен обслуживанием и результатами обследования.
                        ";1
"Прийти на прием к проктологу - это ведь не к терапевту с насморком. И мы все волнуемся, конечно, особенно если приходится обращаться впервые. И тут многое зависит от врача. Я записалась в ""УРО-ПРО"" первый раз и попала к доктору Мальцеву Александру Владимировичу. На первом же приеме поняла, что врач он компетентный, знающий, опытный. Оказалось, что он еще и просто хороший человек: деликатный, добрый, с чувством юмора. Волнение прошло само собой. Он назвал мою проблему и составил план обследования и лечения. Прекрасно прошла и колоноскопия. Спасибо врачу-анестезиологу Томм Татьяне Викторовне и всем медсестрам за их четкую, грамотную работу и такое бережное отношение к пациентам. Я совершенно не почувствовала не то что боли, но и просто неприятных ощущений. В довершение всего еще и угостили чаем с шоколадкой, что очень приятно. Далее была на процедурах у доктора Мальцева еще два раза. И каждый раз на другой день он звонил и интересовался моим самочувствием. Вот что значит человек на своем месте! Большое спасибо ему и низкий поклон, а также всему коллективу клиники, девушкам на ресепшен, гардеробщицам. Все очень вежливы и предупредительны. Успеха и процветания вашей клинике. А будущим пациентам. Ничего не бойтесь, все будет хорошо!
                        ";1
"От всей души благодарю весь коллектив ""Уро-Про"", за профессионализм, доброту, внимательность, работу, которую они делают. Всё чётко отработано, идеально. Отдельную благодарность выражаю Можаевой Елене Анатольевне и анестезиологу Татьяне Викторовне (врачи с большой буквы), делала колоноскопию и гастроскопию под седацией, абсолютно никаких неприятных ощущений ни до, ни после процедуры, все на высшем уровне. Спасибо.
                        ";1
"Хочу выразить благодарность доктору Можаевой Елене Анатольевне. Проходила процедуру ФГДС с седацией. Кстати, не первый раз. Доктор очень внимательно выслушала меня и очень подробно и понятно мне все объяснила... Хочу еще сказать что Елена Анатольевна очень грамотный. И внимательный доктор, а также приятная женщина. Общаться с ней одно удовольствие. Процедура прошла спокойно и совсем безболезненно. Также хочу поблагодарить всю ее команду. Очень внимательный и доброжелательный коллектив.
                        ";1
"Посетила клинику ""УРО-ПРО"" впервые и осталась очень довольна. ? Хочу выразить огромную благодарность врачу Мальцеву Александру Владимировичу за такое хорошее отношение к пациенту и за его профессионализм! ?? Большое спасибо анестезиологу, перед процедурой все уточнил. ? Проходила ЭГДС с седацией, было немного страшно, т. к. делала это впервые, но все прошло хорошо и безболезненно, за что очень благодарна всем врачам и медсестрам. ? Также очень благодарна за доброжелательность и профессионализм медсестре, которая проводила ЭКГ и медсестре, которая помогла прийти в себя после седации. Такого хорошего отношения к пациенту давно не встречала. ?? ? Огромное спасибо вашей клинике «УРО-ПРО». ? ??
                        ";1
"Обращалась к Звягину Сергею Викторовичу. Очень вежливый, добрый, все подробно объясняет, на все вопросы отвечает. Помог с проблемой, все хорошо. Большое спасибо.
                        ";1
"Сегодня (12.09.2022) прошла колоноскопию под седацией у замечательного доктора Можаевой Елены Анатольевны и доброжелательного грамотного медперсонала. Все прошло легко и быстро, за что моя огромная благодарность и наилучшие пожелания всему коллективу клиники ""УРО-ПРО"".
                        ";1
"Вовремя, оперативно. Вежливый персонал. Внимательное и доброжелательное отношение. Профессионализм. Приемлемая стоимость услуги.
                        ";1
"Я считаю, что такое лечение моего мужа со стороны доктора Львова было полной некомпетентностью, и что возможно умышленно было неверное лечение в целях оплаты лечения, думать не хочется, так как это уже за гранью…
                        ";0
